time,r,y
0.458,4.95654,4.96173
0.459,4.95858,4.96374
0.46,4.96057,4.9657
0.461,4.96252,4.96761
0.462,4.96441,4.96947
0.463,4.96626,4.97129
0.464,4.96806,4.97305
0.465,4.9698,4.97477
0.466,4.9715,4.97643
0.467,4.97315,4.97805
0.468,4.97476,4.97962
0.469,4.97631,4.98114
0.47,4.97781,4.98261
0.471,4.97926,4.98403
0.472,4.98067,4.9854
0.473,4.98202,4.98672
0.474,4.98333,4.98799
0.475,4.98459,4.98922
0.476,4.98579,4.99039
0.477,4.98695,4.99152
0.478,4.98806,4.99259
0.479,4.98912,4.99362
0.48,4.99013,4.99459
0.481,4.9911,4.99552
0.482,4.99201,4.9964
0.483,4.99287,4.99723
0.484,4.99368,4.99801
0.485,4.99445,4.99874
0.486,4.99516,4.99942
0.487,4.99583,5.00005
0.488,4.99645,5.00063
0.489,4.99701,5.00117
0.49,4.99753,5.00165
0.491,4.998,5.00208
0.492,4.99842,5.00247
0.493,4.99879,5.0028
0.494,4.99911,5.00309
0.495,4.99938,5.00333
0.496,4.99961,5.00351
0.497,4.99978,5.00365
0.498,4.9999,5.00374
0.499,4.99998,5.00378
0.5,5,5.00377
0.501,4.99998,5.00371
0.502,4.9999,5.0036
0.503,4.99978,5.00344
0.504,4.99961,5.00323
0.505,4.99938,5.00297
0.506,4.99911,5.00267
0.507,4.99879,5.00231
0.508,4.99842,5.0019
0.509,4.998,5.00145
0.51,4.99753,5.00094
0.511,4.99701,5.00039
0.512,4.99645,4.99979
0.513,4.99583,4.99913
0.514,4.99516,4.99843
0.515,4.99445,4.99768
0.516,4.99368,4.99688
0.517,4.99287,4.99603
0.518,4.99201,4.99513
0.519,4.9911,4.99418
0.52,4.99013,4.99318
0.521,4.98912,4.99214
0.522,4.98806,4.99104
0.523,4.98695,4.98989
0.524,4.98579,4.9887
0.525,4.98459,4.98745
0.526,4.98333,4.98616
0.527,4.98202,4.98482
0.528,4.98067,4.98343
0.529,4.97926,4.98198
0.53,4.97781,4.98049
0.531,4.97631,4.97895
0.532,4.97476,4.97736
0.533,4.97315,4.97573
0.534,4.9715,4.97404
0.535,4.9698,4.9723
0.536,4.96806,4.97052
0.537,4.96626,4.96868
0.538,4.96441,4.9668
0.539,4.96252,4.96487
0.54,4.96057,4.96289
0.541,4.95858,4.96085
0.542,4.95654,4.95878
0.543,4.95445,4.95665
0.544,4.95231,4.95447
0.545,4.95012,4.95224
0.546,4.94788,4.94997
0.547,4.94559,4.94764
0.548,4.94326,4.94527
0.549,4.94087,4.94285
0.55,4.93844,4.94038
0.551,4.93596,4.93786
0.552,4.93343,4.93529
0.553,4.93085,4.93267
0.554,4.92822,4.93001
0.555,4.92555,4.92729
0.556,4.92282,4.92453
0.557,4.92005,4.92172
0.558,4.91723,4.91886
0.559,4.91436,4.91595
0.56,4.91144,4.91299
0.561,4.90847,4.90999
0.562,4.90545,4.90693
0.563,4.90239,4.90383
0.564,4.89928,4.90068
0.565,4.89611,4.89748
0.566,4.8929,4.89423
0.567,4.88965,4.89094
0.568,4.88634,4.88759
0.569,4.88299,4.8842
0.57,4.87958,4.88076
0.571,4.87613,4.87727
0.572,4.87263,4.87373
0.573,4.86909,4.87015
0.574,4.86549,4.86651
0.575,4.86185,4.86283
0.576,4.85816,4.8591
0.577,4.85442,4.85533
0.578,4.85063,4.8515
0.579,4.8468,4.84763
0.58,4.84292,4.84371
0.581,4.83899,4.83974
0.582,4.83501,4.83572
0.583,4.83098,4.83166
0.584,4.82691,4.82754
0.585,4.82279,4.82338
0.586,4.81862,4.81918
0.587,4.8144,4.81492
0.588,4.81014,4.81062
0.589,4.80583,4.80627
0.59,4.80147,4.80187
0.591,4.79706,4.79743
0.592,4.79261,4.79294
